,код,наименование,сумма_купона,сделок_шт,объем_в_валюте,валюта_номинала,непогашенный_долг,валюта_расчетов,цена_%_средневзвешенная,мин,макс,цена_посл_%,дох_посл_сделки,дата_оферты,доходность_к_оферте,доходность_посл_купона,дата_погашения,дата_расчета_дох,закрытия_%,нкд,дата_посл_сделки,дюрация_дней,эффективная_доходность,дюрация_срвзвеш,z_spread,g_spread,маркер_кбд,ставка_купона
38,ru000a0jxtw1 ,белгоб2017 ,2.57,50,73936,rub,125.0,sur,99.24,"98,82","99,55","99,29",13.66,,- ,"12,9272",11.06.24,,"99,21","0,99",16.04.24,55,14.0361,54.0,-124.0,-124.0,16.04.24 18:39,8.22
39,ru000a0jvm81 ,оренб35003 ,13.96,25,72201,rub,400.0,sur,100.28,"100,08","100,36","100,34",14.17,,- ,- ,03.07.25,,"100,35","1,84",16.04.24,245,14.2667,245.0,-19.0,-31.0,16.04.24 18:39,13.96
40,ru000a105nt6 ,мгдобл2022 ,26.45,17,69394,rub,1000.0,sur,93.78,"93,5",94,"93,99",14.11,,- ,- ,17.12.27,,"93,99","7,27",16.04.24,817,14.2188,817.0,30.0,16.0,16.04.24 18:39,10.58
41,ru000a101wl3 ,мособ34014 ,10.03,15,68825,rub,700.0,sur,93.64,"93,56","93,75","93,65",15.31,,- ,- ,08.07.25,,"93,65","0,77",16.04.24,276,15.327,276.0,98.0,88.0,16.04.24 18:39,5.73
42,ru000a0zyg60 ,саратобл17 ,8.08,27,66638,rub,400.0,sur,96.3,"96,14","96,38","96,35",15.43,,- ,- ,20.11.24,,"96,35","4,88",16.04.24,211,15.5318,211.0,90.0,89.0,16.04.24 18:39,8.08
43,ru000a101665 ,нижгороб14 ,11.78,13,64194,rub,700.0,sur,94.54,"94,25","94,72","94,61",15.81,,- ,- ,14.06.25,,"94,64","5,05",16.04.24,247,15.9352,247.0,148.0,134.0,16.04.24 18:39,6.73
44,ru000a1043k9 ,нижгороб16 ,23.06,8,63859,rub,1000.0,sur,89.94,"89,8","90,05","89,8",14.9,,- ,- ,26.05.27,,"89,8","14,19",16.04.24,808,14.8175,808.0,106.0,95.0,16.04.24 18:39,9.22
45,ru000a0zykw4 ,хмао 11 ,1.89,164,57948,rub,100.0,sur,95.94,"95,5","96,43","95,5",15.6,,- ,- ,17.12.24,,"95,72","0,58",16.04.24,238,14.7993,238.0,112.0,111.0,16.04.24 18:39,7.56
46,ru000a0zzqh9 ,свердлобл5 ,4.33,41,57940,rub,200.0,sur,92.56,"92,47","93,32","92,47",15.86,,- ,- ,23.10.26,,"92,47","1,38",16.04.24,455,15.769,455.0,174.0,162.0,16.04.24 18:39,8.66
47,ru000a105nd0 ,калинобл22 ,25.68,13,57733,rub,1000.0,sur,94.64,"94,51","95,14","95,13",12.35,,- ,- ,13.12.29,,"95,13","7,34",16.04.24,1217,30.11.23,1216.0,-122.0,-126.0,16.04.24 18:39,10.27
