Код,Наименование,Сумма купона,Сделок шт.,Объем в валюте,Валюта номинала,Непогашенный долг,Валюта расчетов,Цена % средневзвешенная,Мин,Макс,Цена посл %,Дох посл сделки,Дата оферты,Доходность к оферте,Доходность посл. Купона,Дата погашения,Дата расчета дох,Дата пут-опциона,Цена закрытия,НКД,Дата колл опциона,Доходность колл опциона,Дюрация к дате колл опциона,Дата посл сделки,Дюрация дней,Эффективная доходность,Дюрация средневзвешенная,Z spread,G spread,Маркер КБД
RU000A0JVUS1 ,РЕСОЛизБ03 ,"99,73",- ,- ,RUB,1000,SUR,- ,- ,- ,- ,- ,,- ,- ,03.10.25,,- ,"115,45","83,84",- ,- ,- ,26.08.25,- ,,,,,
RU000A0JVUY9 ,ТБанкБО8 ,"5,01",- ,- ,RUB,1000,SUR,- ,- ,- ,- ,- ,,- ,- ,20.10.25,,- ,98,"3,75",- ,- ,- ,16.06.25,- ,,,,,
RU000A0JVVK6 ,ПСБ БО-01 ,"50,36",- ,- ,RUB,1000,SUR,- ,- ,- ,- ,- ,,- ,- ,10.10.25,,- ,- ,"30,44",- ,- ,- ,,- ,,,,,
RU000A0JVVL4 ,ПЕРЕСВ БП2 ,"94,09",1,848,RUB,1000,SUR,"42,39","42,39","42,39","42,39","13,36",,- ,- ,28.09.35,,- ,"42,39","42,7",- ,- ,- ,04.09.25,3674,01.08.24,3674,-485,-485,04.09.25 18:49
RU000A0JVVP5 ,ПСБ БО-02 ,"50,36",- ,- ,RUB,1000,SUR,- ,- ,- ,- ,- ,,- ,- ,13.10.25,,- ,- ,"28,78",- ,- ,- ,,- ,,,,,
RU000A0JVVT7 ,ПСБ БО-03 ,"50,36",- ,- ,RUB,1000,SUR,- ,- ,- ,- ,- ,,- ,- ,14.10.25,,- ,- ,"28,22",- ,- ,- ,,- ,,,,,
RU000A0JVW71 ,РЖД БО-02 ,"104,71",66,1787313,RUB,1000,SUR,"100,3","100,22","100,59","100,28","17,08",,- ,"17,0752",16.10.25,,- ,"100,33","80,55",- ,- ,- ,04.09.25,41,18.2337,40,245,245,04.09.25 18:49
RU000A0JVWA5 ,ТбанкБ19 ,"5,01",- ,- ,RUB,1000,SUR,- ,- ,- ,- ,- ,,- ,- ,30.10.25,,- ,95,"3,48",- ,- ,- ,,- ,,,,,
RU000A0JVWB3 ,РСХБ БО9 ,"49,86",17,43212,RUB,1000,SUR,"100,49","100,03","100,96","100,96","11,24",,- ,"11,2441",17.10.25,,- ,"100,94","26,3",- ,- ,- ,04.09.25,42,16.325,42,-414,-414,04.09.25 18:49
RU000A0JVWD9 ,ГТЛК БО-05 ,"35,75",25,342341,RUB,1000,SUR,"99,52","99,5","99,55","99,51","18,33",,- ,"18,3345",17.10.25,,- ,"99,51","18,86",- ,- ,- ,04.09.25,42,19.7913,42,394,394,04.09.25 18:49
RU000A0JVWJ6 ,ГТЛК БО-06 ,"29,02",36,494802,RUB,1000,SUR,"99,16",99,"99,24","99,19","18,09",,- ,"18,0906",20.10.25,,- ,"99,19","14,35",- ,- ,- ,04.09.25,44,19.8818,44,368,367,04.09.25 18:49
RU000A0JVXS5 ,РЕСОЛизБ04 ,"107,21",- ,- ,RUB,1000,SUR,- ,- ,- ,- ,- ,,- ,- ,30.10.25,,- ,"110,73","74,22",- ,- ,- ,03.09.25,- ,,,,,
RU000A0JVXZ0 ,СистемБ1P2 ,"37,4",- ,- ,RUB,1000,SUR,- ,- ,- ,- ,- ,,- ,- ,31.10.25,,- ,97,"25,68",- ,- ,- ,15.04.24,- ,,,,,
RU000A0JVY04 ,РЖД 36 обл ,"52,46",- ,- ,RUB,1000,SUR,- ,- ,- ,- ,- ,,- ,- ,15.10.40,,- ,- ,"35,16",- ,- ,- ,,- ,,,,,
RU000A0JVYG8 ,РОСЭКСИМБ1 ,"78,04",- ,- ,RUB,1000,SUR,- ,- ,- ,- ,- ,,- ,- ,11.11.25,,- ,"100,5","48,88",- ,- ,- ,03.09.25,- ,,,,,
RU000A0JVZA8 ,РОССИУМ Б1 ,"114,68",- ,- ,RUB,1000,SUR,- ,- ,- ,- ,- ,,- ,- ,14.11.25,,- ,"96,02","69,95",- ,- ,- ,16.06.25,- ,,,,,
RU000A0JVZB6 ,ДелоПортс1 ,"0,05",- ,- ,RUB,1000,SUR,- ,- ,- ,- ,- ,,- ,- ,14.11.25,,- ,"104,99","0,03",- ,- ,- ,02.09.25,- ,,,,,
RU000A0JW0S4 ,ПКТ 01 ,"24,93",17,40787,RUB,1000,SUR,"97,11","96,62","97,31","97,31","15,57",,- ,"15,567",09.12.25,,- ,"97,3","11,78",- ,- ,- ,04.09.25,95,17.399,95,125,125,04.09.25 18:49
RU000A0JW126 ,КАМАЗ БО13 ,"51,81",- ,- ,RUB,1000,SUR,- ,- ,- ,- ,- ,,- ,- ,05.12.30,,- ,- ,"23,91",- ,- ,- ,,- ,,,,,
RU000A0JW1P8 ,ГТЛК БО-07 ,"27,37",15,75061,RUB,1000,SUR,"98,76","98,73","98,9","98,9","15,92",,- ,- ,16.12.25,,- ,"98,9","23,76",- ,- ,- ,04.09.25,99,16.5086,99,76,73,04.09.25 18:49
RU000A0JW3A6 ,ВертолетБ1 ,"59,34",- ,- ,RUB,1000,SUR,- ,- ,- ,- ,- ,,- ,- ,15.01.26,,- ,"109,8","15,98",- ,- ,- ,,- ,,,,,
RU000A0JW5E3 ,ПКТ 02 ,"0,05",9,20710,RUB,1000,SUR,"94,13","93,99","94,17","94,17","14,68",,- ,"14,6832",06.02.26,,- ,"94,16","0,01",- ,- ,- ,04.09.25,154,15.4273,153,65,65,04.09.25 18:49
RU000A0JWB59 ,Держава 03 ,"74,79",- ,- ,RUB,1000,SUR,- ,- ,- ,- ,- ,,- ,- ,29.02.36,,- ,"111,01","71,51",- ,- ,- ,20.08.25,- ,,,,,
RU000A0JWBP5 ,ПКТ 03 ,"32,41",13,124928,RUB,1000,SUR,"94,64","94,16","94,99","94,99","17,42",,- ,- ,18.03.26,,- ,"94,99","30,1",- ,- ,- ,04.09.25,188,18.242,187,305,301,04.09.25 18:49
RU000A0JWC82 ,РЖД БО-07 ,"38,64",5,20298,RUB,1000,SUR,"96,66","96,43","97,55","96,8","14,45",,- ,- ,25.03.26,,- ,"96,79","34,4",- ,- ,- ,04.09.25,194,14.7516,194,12,8,04.09.25 18:49
RU000A0JWD57 ,РЖД БО-05 ,"94,74",- ,- ,RUB,1000,SUR,- ,- ,- ,- ,- ,,- ,- ,03.04.26,,- ,- ,"79,64",- ,- ,- ,,- ,,,,,
RU000A0JWDN6 ,РУСАЛБрБ01 ,"0,05",40,253984,RUB,1000,SUR,"91,03","90,85","91,41","90,99","17,49",,- ,- ,07.04.26,,- ,"90,94","0,04",- ,- ,- ,04.09.25,213,17.3977,213,323,323,04.09.25 18:49
RU000A0JWGD0 ,БашнфтБО8 ,"0,05",34,86176,RUB,1000,SUR,"90,71","90,6",91,91,"15,71",,- ,- ,29.04.26,,- ,"90,99","0,03",- ,- ,- ,04.09.25,235,16.287,235,158,157,04.09.25 18:49
RU000A0JWGS8 ,ТбанкБ20 ,"5,04",- ,- ,RUB,1000,SUR,- ,- ,- ,- ,- ,,- ,- ,18.05.26,,- ,"96,55","2,99",- ,- ,- ,01.09.25,- ,,,,,
RU000A0JWGV2 ,ПочтаРосБ2 ,"57,34",- ,- ,RUB,1000,SUR,- ,- ,- ,- ,- ,,- ,- ,07.05.26,,- ,"99,96","37,49",- ,- ,- ,01.09.25,- ,,,,,
RU000A0JWH87 ,БашнфтБО2 ,"109,7",- ,- ,RUB,1000,SUR,- ,- ,- ,- ,- ,,- ,- ,12.05.26,,- ,- ,"68,71",- ,- ,- ,,- ,,,,,
RU000A0JWHA4 ,RUS-26 ,4750,- ,- ,USD,200000,SUR,- ,- ,- ,- ,- ,,- ,- ,27.05.26,,- ,"100,89","206950,2903",- ,- ,- ,27.08.25,- ,,,,,
RU000A0JWHU2 ,РЖД БО-17 ,"49,12",16,50117,RUB,1000,SUR,"84,94","83,85","88,84","88,84","13,05",14.05.31,"13,0346",- ,26.04.41,14.05.31,14.05.31,"85,36","29,95",- ,- ,- ,04.09.25,1556,14.1959,1542,-55,-51,04.09.25 18:49
RU000A0JWHW8 ,Новсиб 8об ,"4,29",6,3558,RUB,200,SUR,"98,82","98,81","98,83","98,83","11,69",,- ,- ,28.05.26,,- ,"98,82","2,05",- ,- ,- ,04.09.25,150,01.11.89,150,-262,-300,04.09.25 18:49
RU000A0JWJF9 ,СитиматБ1 ,"256,54",- ,- ,RUB,"1026,15",SUR,- ,- ,- ,- ,- ,,- ,- ,20.12.36,,- ,- ,"89,96",- ,- ,- ,,- ,,,,,
RU000A0JWK74 ,ОДК 01 ,"53,6",149,7339909,RUB,1000,SUR,"95,25","95,11","95,25","95,25","18,36",,- ,- ,10.06.26,,- ,"95,18","28,57",- ,- ,- ,04.09.25,267,18.3555,267,438,436,04.09.25 18:49
RU000A0JWLU4 ,РЖД-42 обл ,"48,37",- ,- ,RUB,1000,SUR,- ,- ,- ,- ,- ,18.06.26,- ,- ,22.05.46,18.06.26,18.06.26,- ,"20,99",- ,- ,- ,,- ,,,,,
RU000A0JWM15 ,ПЕРЕСВ БП5 ,"96,63",- ,- ,RUB,1000,SUR,- ,- ,- ,- ,- ,,- ,- ,04.06.36,,- ,"34,99","41,78",- ,- ,- ,07.08.25,- ,,,,,
RU000A0JWMZ1 ,РСХБ 06Т1 ,"72,3",- ,- ,RUB,1000,SUR,- ,- ,- ,- ,- ,,- ,- ,,,- ,"129,9","24,63",- ,- ,- ,,- ,,,,,
